empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp,ebikes,has_ebikes,last_updated,payment_0,payment_1,payment-terminal,rental_uris_android,rental_uris_ios,renting,returning,slots,uid
12,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291788, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1835247196073118026'}",7,4f39a52cd1ac3258d7fe7951be26a246,40.7702,-73.87587,Ditmars Blvd & 94 St,2023-10-03 00:11:37.978000+00:00,1,True,1696291788,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1835247196073118026
13,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291780, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 24, 'uid': '1835247352748090208'}",10,a50d93bc901a78bda3ca0b378b168fa7,40.76619,-73.87561,Jackson Mill Rd & 24 Ave,2023-10-03 00:11:38.682000+00:00,1,True,1696291780,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,24,1835247352748090208
1,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291787, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '528ed1e0-75aa-45be-8afe-c3f1c950782f'}",19,eaf4c68559b484c7014e64ae025f99b1,40.72098,-73.90701,Grand Ave & 58 Ave,2023-10-03 00:11:37.506000+00:00,0,True,1696291787,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,528ed1e0-75aa-45be-8afe-c3f1c950782f
15,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291749, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 22, 'uid': '66dd8479-0aca-11e7-82f6-3863bb44ef7c'}",6,c0cf00b8106d6170caf57ad7cfff730b,40.7127742,-74.0364857,Essex Light Rail,2023-10-03 00:11:37.278000+00:00,0,True,1696291749,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,22,66dd8479-0aca-11e7-82f6-3863bb44ef7c
17,"{'ebikes': 4, 'has_ebikes': True, 'last_updated': 1696291741, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 22, 'uid': '1828969417249358046'}",4,e9276235baf90ef9a7e64ee4b8913d14,40.75748,-73.86843,100 St & Northern Blvd,2023-10-03 00:11:38.074000+00:00,4,True,1696291741,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,22,1828969417249358046
1,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291852, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 23, 'uid': '1838070626762830158'}",20,8c14a352a4195f30e1f1414ecd443798,40.76196,-73.87042,99 St & Astoria Blvd,2023-10-03 00:11:37.274000+00:00,1,True,1696291852,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,23,1838070626762830158
2,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291774, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 25, 'uid': '1817432606668538118'}",22,c4c9bc920ca31bb93b7479f1dd06d13f,40.65116,-73.94577,E 34 St & Church Ave,2023-10-03 00:11:38.226000+00:00,0,True,1696291774,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,25,1817432606668538118
0,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291840, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 19, 'uid': '1845676917264180046'}",18,84655980ca8d7abb1405ec2cb7886da2,40.65,-73.93296,Snyder Ave & Schenectady Ave,2023-10-03 00:11:38.877000+00:00,1,True,1696291840,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,19,1845676917264180046
1,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291841, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1835247598942507168'}",15,bc65132d10c4e088c7831f1826fe0fa7,40.75896,-73.86976,99 St & 32 Ave,2023-10-03 00:11:39.384000+00:00,1,True,1696291841,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1835247598942507168
9,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291853, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 23, 'uid': '1838618090943186984'}",14,d75e1ddca883df3af2d0828d9e45af33,40.75727,-73.89024,32 Ave & 77 St,2023-10-03 00:11:37.849000+00:00,0,True,1696291853,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,23,1838618090943186984
17,"{'ebikes': 5, 'has_ebikes': True, 'last_updated': 1696291849, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 30, 'uid': '1835249317786962140'}",12,7423bf5925c8db805ec8b22809c35e8d,40.75055,-73.86725,99 St & 38 Ave,2023-10-03 00:11:38.217000+00:00,5,True,1696291849,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,30,1835249317786962140
